t,x,y,u,k
0.92187500,0.76562500,0.79687500,0.67571461,0.01078568
0.92187500,0.98437500,0.26562500,0.76628077,0.00484343
0.95312500,0.04687500,0.51562500,0.00004861,0.00013489
0.95312500,0.20312500,0.95312500,0.10533664,0.00088741
0.95312500,0.35937500,0.48437500,0.47476205,0.01974683
0.95312500,0.54687500,0.14062500,0.70778418,0.00843380
0.95312500,0.73437500,0.26562500,0.68490046,0.01009428
0.95312500,0.79687500,0.73437500,0.66673267,0.01147002
0.95312500,0.82812500,0.70312500,0.65929896,0.01203969
0.98437500,0.10937500,0.64062500,0.00060391,0.00013640
0.98437500,0.51562500,0.10937500,0.66816962,0.01136015
0.98437500,0.51562500,0.23437500,0.66807199,0.01136761
0.98437500,0.82812500,0.57812500,0.66020209,0.01197041
0.98437500,0.95312500,0.60937500,0.69933540,0.00903441
0.98437500,0.98437500,0.82812500,1.03335273,0.00006764
