step,loss_pde,loss_bc,loss_u,loss_q
50000,5.224865,0.5109888,0.56519514,27.146667
50100,5.473916,0.508088,0.565531,26.773636
50200,5.1508064,0.5059248,0.56401217,26.321188
50300,6.432279,0.5025935,0.5631259,25.906376
50400,5.3580694,0.49886605,0.56244874,25.464079
50500,5.0740004,0.49681857,0.5616595,25.039297
50600,5.051009,0.49377808,0.5609724,24.609753
50700,15.805947,0.48924983,0.5586641,24.290401
50800,4.9942775,0.48639718,0.5589526,23.702374
50900,5.2126803,0.48234978,0.55842894,23.218893
51000,33.608837,0.47831562,0.5606771,22.739262
51100,74.1097,0.4716659,0.55486166,22.55193
51200,4.859037,0.4675963,0.5537185,21.712639
51300,5.1880407,0.46238622,0.55241156,21.219236
51400,4.955268,0.45793328,0.5512984,20.725471
51500,4.7399974,0.4540727,0.55045223,20.269217
51600,4.6231627,0.45150173,0.54983777,19.823019
51700,4.591522,0.44785264,0.5490492,19.4224
51800,5.1573424,0.4459212,0.54934293,19.075035
51900,4.4448276,0.44361576,0.54838544,18.700308
52000,4.4400263,0.44067353,0.54781187,18.396095
52100,6.1652346,0.43895677,0.54686815,18.074951
52200,4.2605658,0.43699947,0.54688376,17.829222
52300,5.4382787,0.4340847,0.54660136,17.57586
52400,4.2323976,0.43169865,0.5454921,17.316143
52500,4.861582,0.4301409,0.54414135,17.07164
52600,34.590508,0.42800388,0.5421725,17.610216
52700,3.987879,0.42614907,0.5435488,16.637486
52800,3.971046,0.42444897,0.5431434,16.43957
52900,4.689202,0.42179778,0.54349685,16.284908
53000,3.9855955,0.42111123,0.54261124,16.056574
53100,31.05848,0.41671252,0.540519,16.044563
53200,3.7509978,0.41720998,0.5406445,15.690289
53300,32.924072,0.41440356,0.5403314,15.551018
53400,36.75662,0.41222504,0.5396048,15.536177
53500,3.651814,0.41118932,0.53870684,15.186939
53600,3.621772,0.40887725,0.5382439,15.028416
53700,3.6725786,0.40736333,0.5376962,14.879677
53800,3.8772676,0.40461498,0.53651524,14.731259
53900,3.5282729,0.40344393,0.53650606,14.584039
54000,3.5277727,0.40182823,0.53648055,14.458969
54100,4.46198,0.3997494,0.53530335,14.332633
54200,3.8060632,0.39829758,0.5354731,14.184024
54300,3.398976,0.3968067,0.5344647,14.0528965
54400,3.559696,0.3935111,0.5334044,13.934803
54500,4.2016907,0.39260873,0.53372353,13.819776
54600,65.426704,0.3915139,0.532647,13.807304
54700,3.3078208,0.38979813,0.53257596,13.567755
54800,3.4182086,0.38785112,0.5317309,13.446583
54900,3.9155853,0.38651407,0.53163433,13.329858
55000,8.660416,0.38378847,0.52932096,13.393928
55100,3.2277653,0.38300636,0.53081524,13.1154
55200,3.2370698,0.3814962,0.5302361,13.010304
55300,5.785353,0.37951493,0.52991146,12.926926
55400,3.4665859,0.3784471,0.52943087,12.81052
55500,3.1398978,0.37713283,0.5290835,12.706761
55600,3.134575,0.37521157,0.5286603,12.608793
55700,4.1162972,0.37428626,0.5291595,12.533015
55800,3.083627,0.37304744,0.52794605,12.42333
55900,63.98183,0.3710756,0.52740556,12.446004
56000,3.051575,0.3699294,0.5272143,12.24109
56100,3.4707077,0.36821675,0.5269513,12.161957
56200,9.958726,0.3677376,0.5281585,12.164428
56300,46.233208,0.3663303,0.52759683,12.311291
