x,t,u_pred,k_pred
0.8291457,0.30150753,0.004724622,0.0008054617
0.8341709,0.30150753,0.00410676,0.0008043656
0.83919597,0.30150753,0.0035659075,0.00080341427
0.8442211,0.30150753,0.0030863285,0.00080257555
0.8492462,0.30150753,0.002657652,0.0008018305
0.85427135,0.30150753,0.0022718906,0.0008011631
0.8592965,0.30150753,0.0019239187,0.00080056454
0.8643216,0.30150753,0.0016102791,0.0008000277
0.86934674,0.30150753,0.0013295412,0.00079954753
0.8743719,0.30150753,0.0010775328,0.00079911883
0.879397,0.30150753,0.000854373,0.00079874054
0.8844221,0.30150753,0.0006583929,0.0007984089
0.8894472,0.30150753,0.00048744678,0.00079812045
0.89447236,0.30150753,0.000341177,0.0007978743
0.8994975,0.30150753,0.00021660328,0.00079766446
0.9045226,0.30150753,0.0001142025,0.00079749245
0.90954775,0.30150753,3.0994415e-05,0.00079735287
0.91457283,0.30150753,-3.349781e-05,0.0007972451
0.919598,0.30150753,-8.106232e-05,0.00079716556
0.92462313,0.30150753,-0.00011241436,0.00079711305
0.9296482,0.30150753,-0.00012981892,0.00079708436
0.93467337,0.30150753,-0.00013387203,0.0007970768
0.9396985,0.30150753,-0.00012636185,0.00079709006
0.9447236,0.30150753,-0.0001077652,0.0007971205
0.94974875,0.30150753,-7.998943e-05,0.00079716736
0.95477384,0.30150753,-4.3153763e-05,0.00079722906
0.959799,0.30150753,1.4305115e-06,0.0007973035
0.96482414,0.30150753,5.197525e-05,0.0007973883
0.9698492,0.30150753,0.00010871887,0.0007974833
0.9748744,0.30150753,0.00017011166,0.0007975868
0.9798995,0.30150753,0.0002361536,0.0007976969
0.9849246,0.30150753,0.00030481815,0.00079781323
0.98994976,0.30150753,0.00037753582,0.00079793466
0.99497485,0.30150753,0.00045132637,0.0007980596
1.0,0.30150753,0.00052821636,0.0007981888
0.0,0.30653265,-0.00016772747,0.0007970203
0.0050251256,0.30653265,-0.00011968613,0.0007971005
0.010050251,0.30653265,-7.176399e-05,0.00079718087
0.015075377,0.30653265,-2.527237e-05,0.00079725863
0.020100502,0.30653265,2.1338463e-05,0.0007973371
0.025125628,0.30653265,6.699562e-05,0.0007974136
0.030150754,0.30653265,0.00011193752,0.000797489
0.03517588,0.30653265,0.00015676022,0.00079756416
0.040201005,0.30653265,0.0002014637,0.00079763914
0.04522613,0.30653265,0.00024604797,0.0007977136
0.050251257,0.30653265,0.00029194355,0.00079779123
0.055276383,0.30653265,0.00033688545,0.0007978668
0.06030151,0.30653265,0.00038456917,0.00079794676
0.06532663,0.30653265,0.0004335642,0.0007980298
0.07035176,0.30653265,0.00048530102,0.0007981169
0.07537688,0.30653265,0.0005406141,0.0007982102
0.08040201,0.30653265,0.0005995035,0.00079830963
0.085427135,0.30653265,0.000664711,0.0007984191
0.09045226,0.30653265,0.0007365942,0.00079854106
0.09547739,0.30653265,0.000816226,0.00079867564
0.10050251,0.30653265,0.0009058714,0.00079882744
0.10552764,0.30653265,0.0010079145,0.000799001
0.110552765,0.30653265,0.0011239052,0.0007991978
0.11557789,0.30653265,0.0012571812,0.0007994244
0.12060302,0.30653265,0.0014100075,0.00079968496
0.12562814,0.30653265,0.0015872717,0.00079998764
0.13065326,0.30653265,0.0017929077,0.0008003397
0.1356784,0.30653265,0.0020307302,0.0008007482
0.14070351,0.30653265,0.0023083687,0.0008012263
0.14572865,0.30653265,0.0026327372,0.0008017871
0.15075377,0.30653265,0.0030122995,0.0008024468
0.1557789,0.30653265,0.003457427,0.0008032241
0.16080402,0.30653265,0.0039788485,0.00080414006
0.16582915,0.30653265,0.004592061,0.0008052254
0.17085427,0.30653265,0.0053116083,0.00080651045
0.1758794,0.30653265,0.0061551332,0.000808031
0.18090452,0.30653265,0.00714159,0.0008098315
0.18592964,0.30653265,0.008291483,0.00081195886
0.19095477,0.30653265,0.0096235275,0.0008144636
0.1959799,0.30653265,0.011161685,0.00081741076
0.20100503,0.30653265,0.012927771,0.00082086696
0.20603015,0.30653265,0.014956355,0.0008249377
0.21105528,0.30653265,0.017291903,0.0008297601
0.2160804,0.30653265,0.020002365,0.00083554647
